X,Y,Z,surface,group
455407.52736199996,6785405.882706,-1828.2100829999997,tarbert,tarbert c
454857.52736199996,6783555.882706,-1872.845825,tarbert,tarbert c
455157.52736199996,6784755.882706,-1838.7409670000002,tarbert,tarbert c
455307.52736199996,6788455.882706,-1876.855957,tarbert,tarbert c
454657.52736199996,6788055.882706,-1899.905762,tarbert,tarbert c
455007.52736199996,6786305.882706,-1924.515015,tarbert,tarbert c
455457.52736199996,6784505.882706,-1799.23877,tarbert,tarbert c
454807.52736199996,6785755.882706,-1915.745972,tarbert,tarbert c
455557.52736199996,6786505.882706,-1848.220825,tarbert,tarbert c
454957.52736199996,6787505.882706,-1890.863525,tarbert,tarbert c
455207.52736199996,6783955.882706,-1795.925781,tarbert,tarbert c
454407.52736199996,6788055.882706,-1953.724243,tarbert,tarbert c
454707.52736199996,6785855.882706,-1914.695313,tarbert,tarbert c
455307.52736199996,6788255.882706,-1867.219482,tarbert,tarbert c
455107.52736199996,6784655.882706,-1844.542358,tarbert,tarbert c
455407.52736199996,6784905.882706,-1826.3891600000002,tarbert,tarbert c
454407.52736199996,6786605.882706,-2012.664063,tarbert,tarbert c
454657.52736199996,6785855.882706,-1919.804077,tarbert,tarbert c
455257.52736199996,6788655.882706,-1874.5721440000002,tarbert,tarbert c
455307.52736199996,6787405.882706,-1843.171753,tarbert,tarbert c
455107.52736199996,6785105.882706,-1859.739136,tarbert,tarbert c
455007.52736199996,6789455.882706,-1928.7792969999998,tarbert,tarbert c
455707.52736199996,6786355.882706,-1837.98938,tarbert,tarbert c
455007.52736199996,6786905.882706,-1919.590698,tarbert,tarbert c
455307.52736199996,6789255.882706,-1917.6346440000002,tarbert,tarbert c
454457.52736199996,6786705.882706,-2005.366089,tarbert,tarbert c
455157.52736199996,6787605.882706,-1879.1623539999998,tarbert,tarbert c
455207.52736199996,6784355.882706,-1820.532104,tarbert,tarbert c
455407.52736199996,6785405.882706,-1828.2100829999997,tarbert,tarbert c
454757.52736199996,6786605.882706,-1983.952271,tarbert,tarbert c
454857.52736199996,6784055.882706,-1855.216309,tarbert,tarbert c
455507.52736199996,6786355.882706,-1859.2087399999998,tarbert,tarbert c
455207.52736199996,6785155.882706,-1864.1542969999998,tarbert,tarbert c
455157.52736199996,6786405.882706,-1917.274414,tarbert,tarbert c
454957.52736199996,6784955.882706,-1863.014282,tarbert,tarbert c
455157.52736199996,6788255.882706,-1884.3419190000002,tarbert,tarbert c
455157.52736199996,6785505.882706,-1871.37085,tarbert,tarbert c
454807.52736199996,6788505.882706,-1921.7792969999998,tarbert,tarbert c
